Message_id,Day_of_week,Date,Sender,Subject,Body
1,Saturday,01/11/2020,Daily Coding Problem <founders@dailycodingproblem.com>,Daily Coding Problem: Problem #418 [Easy] ,"*Coding Challenge* 

Good morning! Here's your coding interview problem for today.

This problem was asked by Atlassian.

MegaCorp wants to give bonuses to its employees based on how many lines of codes
they have written. They would like to give the smallest positive amount to each
worker consistent with the constraint that if a developer has written more lines
of code than their neighbor, they should receive more money.

Given an array representing a line of seats of employees at MegaCorp, determine
how much each one should get paid.

For example, given [10, 40, 200, 1000, 60, 30], you should return [1, 2, 3, 4,
2, 1].

"
2,Friday,01/10/2020,Daily Coding Problem <founders@dailycodingproblem.com>,Daily Coding Problem: Problem #417 [Easy] ,"*Coding Challenge* 

Good morning! Here's your coding interview problem for today.

This problem was asked by Amazon.

Given a linked list, remove all consecutive nodes that sum to zero. Print out
the remaining nodes.

For example, suppose you are given the input 3 -> 4 -> -7 -> 5 -> -6 -> 6. In
this case, you should first remove 3 -> 4 -> -7, then -6 -> 6, leaving only 5.

"
3,Friday,01/10/2020,Daily Product Prep <daily@dailyproductprep.com>,Daily Product Prep #16: Why do you like Airbnb?  ,"*Product Management Prep* 

Good morning!

Here's today's problem:

This problem was recently asked by Airbnb.

What do you like about our product?

Make it harder? Provide two improvements with your answer.


"
4,Friday,01/10/2020,Data Science Prep <team@datascienceprep.com>,[Statistics] Unbiased and consistent estimators: Google [Hard] ,"*Data Science Prep* 

Good morning!

Here's today's problem:

This problem was asked by Google.

What does it mean for an estimator to be unbiased? What about consistent? Give
examples of an unbiased but not consistent estimator, as well as a biased but
consistent estimator.

"
5,Thursday,01/09/2020,Daily Coding Problem <founders@dailycodingproblem.com>,Daily Coding Problem: Problem #416 [Easy] ,"*Coding Challenge* 

Good morning! Here's your coding interview problem for today.

This problem was asked by Google.

You are in an infinite 2D grid where you can move in any of the 8 directions:

 (x,y) to
    (x+1, y),
    (x - 1, y),
    (x, y+1),
    (x, y-1),
    (x-1, y-1),
    (x+1,y+1),
    (x-1,y+1),
    (x+1,y-1)


You are given a sequence of points and the order in which you need to cover the
points. Give the minimum number of steps in which you can achieve it. You start
from the first point.

Example:

Input: [(0, 0), (1, 1), (1, 2)]
Output: 2


It takes 1 step to move from (0, 0) to (1, 1). It takes one more step to move
from (1, 1) to (1, 2).

"
6,Thursday,01/09/2020,Daily Product Prep <daily@dailyproductprep.com>,Daily Product Prep #15: Design a food pickup app.  ,"*Product Management Prep* 

Good morning!

Here's today's problem:

This question was recently asked by Yelp.

One of the main activities for anyone here is lunch. We occasionally have catered lunches and we have a bar/cafe that provides drinks. However, one big problem is waiting in lines for these lunches can be long. Design a product that would help Yelp engineers pick up their catered lunch without having to line up.

Make it harder? Whiteboard your solution.


"
7,Wednesday,01/08/2020,Daily Coding Problem <founders@dailycodingproblem.com>,Daily Coding Problem: Problem #415 [Hard] ,"*Coding Challenge* 

Good morning! Here's your coding interview problem for today.

This problem was asked by Affirm.

Given a array of numbers representing the stock prices of a company in
chronological order, write a function that calculates the maximum profit you
could have made from buying and selling that stock. You're also given a number 
fee that represents a transaction fee for each buy and sell transaction.

You must buy before you can sell the stock, but you can make as many
transactions as you like.

For example, given [1, 3, 2, 8, 4, 10] and fee = 2, you should return 9, since
you could buy the stock at 1 dollar, and sell at 8 dollars, and then buy it at 4
dollars and sell it at 10 dollars. Since we did two transactions, there is a 4
dollar fee, so we have 7 + 6 = 13 profit minus 4 dollars of fees.

"
8,Wednesday,01/08/2020,Daily Product Prep <daily@dailyproductprep.com>,Daily Product Prep #14: List five different APIs Spotify has.  ,"*Product Management Prep* 

Good morning!

Here's today's problem:

This problem was recently asked by Stripe.

One app I use everyday is Spotify. Provide five different examples of APIs they may have.

Make it harder? Provide your answer in under one minute.


"
9,Wednesday,01/08/2020,Data Science Prep <team@datascienceprep.com>,[Product] Social graph comparison: Facebook [Easy] ,"*Data Science Prep* 

Good morning!

Here's today's problem:

This problem was asked by Facebook.

Imagine the social graphs for both Facebook and Twitter. How do they differ?
What metric would you use to measure how skewed the social graphs are?

"
10,Tuesday,01/07/2020,Daily Product Prep <daily@dailyproductprep.com>,Exclusive: Get $20 off Exponent courses for yearly DPP members!,"*Product Management Prep* 

Hey everyone,

We partnered with our friends at Exponent to give you $20 off Exponent PM
courses! This discount is exclusive to yearly members on Daily Product Prep, so
be sure to upgrade your account today to get the discount code!

Upgrade now! [https://dailyproductprep.com/upgrade]

Thanks for being a subscriber, and have a great day!

"
